questionUid,qKey,sourceJsPath,id,standardUnitKey,mappedUnitKey,matchedTerms,includedByForwardScan,status
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_21,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_21,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js,21,H15-SB-05,,직선의 방정식|도형의 이동,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_22,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_22,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js,22,H15-SB-04,,평면좌표,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_2,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_2,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js,2,H15-SB-04,,직선의 방정식|도형의 이동,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_3,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_3,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js,3,H15-SB-03,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_10,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_10,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js,10,H15-SB-03,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_15,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_15,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js,15,H15-SB-04,,평면좌표|직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_19,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_19,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js,19,H15-SB-03,,원의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_22,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_22,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js,22,H15-SB-05,,평면좌표|직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_팔마고_2학기_기말_고1_기출.js_4,original/high/h1/2final/22_팔마고_2학기_기말_고1_기출.js_4,original/high/h1/2final/22_팔마고_2학기_기말_고1_기출.js,4,H15-SB-04,,직선의 방정식|도형의 이동,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_팔마고_2학기_기말_고1_기출.js_8,original/high/h1/2final/22_팔마고_2학기_기말_고1_기출.js_8,original/high/h1/2final/22_팔마고_2학기_기말_고1_기출.js,8,H15-SB-04,,평면좌표,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_팔마고_2학기_기말_고1_기출.js_16,original/high/h1/2final/22_팔마고_2학기_기말_고1_기출.js_16,original/high/h1/2final/22_팔마고_2학기_기말_고1_기출.js,16,H15-SB-05,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_효천고_2학기_기말_고1_기출.js_4,original/high/h1/2final/22_효천고_2학기_기말_고1_기출.js_4,original/high/h1/2final/22_효천고_2학기_기말_고1_기출.js,4,H15-SB-04,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_효천고_2학기_기말_고1_기출.js_10,original/high/h1/2final/22_효천고_2학기_기말_고1_기출.js_10,original/high/h1/2final/22_효천고_2학기_기말_고1_기출.js,10,H15-SB-06,,직선의 방정식,false,REVIEW_REQUIRED
