assetPath,assetSha256,byteCount,viewBox,preserveAspectRatio,primitiveCounts,staticXmlStatus,forbiddenNodes,observedFactHash
archive/assets/images/22_순천여고_1학기_기말_고1_기출/q04-solution.svg,fc921e1da3ce8cd588f8b6cd096774fc0f3404326bac60d6333d321bb987ff7e,4196,0 0 640 300,,"{""svg"":1,""circle"":4,""ellipse"":0,""line"":24,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":16,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,019d4bd3eeff1c089e3e215d0df7c27e36cab0654a2530f1c8ab7588fbdc2553
archive/assets/images/22_순천여고_1학기_기말_고1_기출/q05-solution.svg,a518ceb3a63f27ccc0f0445399f31cf17ae24e5e5ff5e954eceeb7643ee21fa9,3503,0 0 640 300,,"{""svg"":1,""circle"":2,""ellipse"":0,""line"":20,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":13,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,287156cb5c3c8091a81bdc8e63327e087a59607225910ef93141f64e82a17df4
archive/assets/images/22_순천여고_1학기_기말_고1_기출/q07-solution.svg,54d29816fcbd572638943175ea473959819b2787c7b2903f6ff39c6d216d5097,4209,0 0 640 300,,"{""svg"":1,""circle"":5,""ellipse"":0,""line"":27,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":14,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,e8c7d6f1b09794fba55734d093c4241f5889874d5d9d7aa2b8b28cb979ae4e09
archive/assets/images/22_순천여고_1학기_기말_고1_기출/q08-solution.svg,9f0e2712aaf4a5f4b3f19560717fedfe9fd588ee699c191400acb9fc1220d635,4178,0 0 640 300,,"{""svg"":1,""circle"":4,""ellipse"":0,""line"":30,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":13,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,881df877124f72fda71a6b65acee03e7ab89f18d0a570f2e0f111803406382ef
archive/assets/images/22_순천여고_1학기_기말_고1_기출/q12-solution.svg,1fa193007f3524f5cc00cfbe7f83e377d86fbc81a36dec4ffb0f7a1e573335ec,6720,0 0 720 360,xMidYMid meet,"{""svg"":1,""circle"":3,""ellipse"":0,""line"":29,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":34,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,e0e3b6b970ea51590d52653dc3066117d339cf30f1f71d2aeaca985e1bbcfb37
archive/assets/images/22_순천여고_1학기_기말_고1_기출/q17-solution.svg,c0d5722f4838b23649dfd6a06f42d482418ccf6090423dec4b5beb2afd8f6ef8,4318,0 0 640 320,,"{""svg"":1,""circle"":5,""ellipse"":0,""line"":25,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":16,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,6a246364cec59bd51c2980b13f493169bc2f4d22ae3eba86b383297763abe478
archive/assets/images/22_순천여고_1학기_기말_고1_기출/q23-solution.svg,f3894dc8daaa249bdce97e195ce83946106d7160041d7366e912c9e610d4df48,6288,0 0 720 360,xMidYMid meet,"{""svg"":1,""circle"":5,""ellipse"":0,""line"":24,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":31,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,9c021207ef7fcf7b2ad1d771c2d3e814bb1e7a7bbcd5649032e4a3b66354bf6d
archive/assets/images/22_순천여고_2학기_기말_고1_기출/q09-solution.svg,3a0343be04ea02ac98b31313f26227d79a427e1e879db37ed6943be0d0e43d1c,4163,0 0 640 280,,"{""svg"":1,""circle"":4,""ellipse"":0,""line"":21,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":16,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,ac217cd30d174a68299a5e5abee41cd38fb7e98560e901f548257bfaabb5271d
archive/assets/images/22_제일고_1학기_기말_고1_기출/q13-solution.svg,f54e248a3d48e9606b7069080259368a1024561425a33000aeb3f6abfe58d013,5544,0 0 720 360,xMidYMid meet,"{""svg"":1,""circle"":3,""ellipse"":0,""line"":22,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":27,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,61fbc3a7e9a79bab3018ec85985191eda13ae655e4659ac4c9ae0e658ace4a2c
archive/assets/images/22_제일고_1학기_기말_고1_기출/q14-solution.svg,ead25b028c3bdd7c6cfc75031a3d0e187cffc3c218d439c7f73685d14f0c8212,5036,0 0 720 360,xMidYMid meet,"{""svg"":1,""circle"":5,""ellipse"":0,""line"":16,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":22,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,9a1ccb74dd4acac297bbfa6b8d36dfe1a5997c208c1bbdc20ff85763de5819d2
